onset_year,onset_month,notified,confirmed,hospitalised,hosp_known,deaths,outcome_known,lab_confirmed,crit_known,severe,sev_known,population,days_in_month,person_years,incidence_per_100k_py,incidence_lo,incidence_hi,confirmed_among_notified,confirmed_among_notified_lo,confirmed_among_notified_hi,H,H_lo,H_hi,lab_share,lab_share_lo,lab_share_hi,severe_share,severe_share_lo,severe_share_hi,cfr,cfr_lo,cfr_hi,hosp_completeness,outcome_completeness,criterion_completeness,H_worst_case_bound,month_start
2021,9,65,24,20,24,2,21,18,23,13,23,11227789,30.0,922200.3285420944,2.602471421577303,1.6674525456953964,3.872271185394964,0.36923076923076925,0.25279351516200765,0.4980006102990202,0.8333333333333334,0.6261582865113173,0.9526463733927428,0.782608695652174,0.5629692737631854,0.9253965923511963,0.5652173913043478,0.34494660745237465,0.7680858004617686,0.09523809523809523,0.011749317884445809,0.3037744069139242,1.0,0.875,0.9583333333333334,0.8333333333333334,2021-09-01
2021,10,64,14,10,13,0,12,12,14,6,13,11227789,31.0,952940.3394934976,1.4691370928258967,0.803190919629741,2.464962406179664,0.21875,0.12506827371524634,0.3396963118152601,0.7692307692307693,0.46186846076595905,0.9496189265088485,0.8571428571428571,0.571870839090301,0.9822054845168084,0.46153846153846156,0.192232441801288,0.7486545177296964,0.0,0.0,0.2646484693970512,0.9285714285714286,0.8571428571428571,1.0,0.7857142857142857,2021-10-01
2021,11,69,17,5,16,0,12,14,17,5,16,11227789,30.0,922200.3285420944,1.8434172569505893,1.0738584842257795,2.951489603016792,0.2463768115942029,0.15054965399835843,0.36490491163040417,0.3125,0.1101699547171176,0.5866206364513586,0.8235294117647058,0.565682127155716,0.962014931929374,0.3125,0.1101699547171176,0.5866206364513586,0.0,0.0,0.2646484693970512,0.9411764705882353,0.7058823529411765,1.0,0.35294117647058826,2021-11-01
2021,12,60,11,8,11,1,10,9,11,4,10,11227789,31.0,952940.3394934976,1.1543220015060616,0.576233384154508,2.0654009173085544,0.18333333333333332,0.0952358229165638,0.3043960547407762,0.7272727272727273,0.3902574404275788,0.9397822658270933,0.8181818181818182,0.48224414763982737,0.9771688017000404,0.4,0.1215522581198272,0.7376219233930549,0.1,0.0025285785444617865,0.4450161170281954,1.0,0.9090909090909091,1.0,0.7272727272727273,2021-12-01
2022,1,72,26,16,24,1,26,21,25,11,23,11220506,31.0,952322.2067077344,2.730168404859989,1.7834366452833033,4.000329280866658,0.3611111111111111,0.25116285177856135,0.4828713519029786,0.6666666666666666,0.44678038434035194,0.8436977142908647,0.84,0.6391715455407279,0.9546205476282904,0.4782608695652174,0.26819618617555346,0.694121998508626,0.038461538461538464,0.0009732878933350311,0.19636964676253893,0.9230769230769231,1.0,0.9615384615384616,0.6923076923076923,2022-01-01
2022,2,88,28,22,23,1,25,26,28,13,24,11220506,28.0,860161.993155373,3.255200790409987,2.1630572850126764,4.704671476452739,0.3181818181818182,0.222908338713868,0.42609402481233793,0.9565217391304348,0.7805133925465196,0.9988998313695585,0.9285714285714286,0.7649652268254092,0.9912295032964729,0.5416666666666666,0.328208075695178,0.7444697980052537,0.04,0.0010121996993108454,0.203516913922414,0.8214285714285714,0.8928571428571429,1.0,0.9642857142857143,2022-02-01
2022,3,177,50,41,50,2,40,45,49,26,47,11220506,31.0,952322.2067077344,5.250323855499979,3.8968915642278144,6.921897462858087,0.2824858757062147,0.21749939877445898,0.3549157379188745,0.82,0.6856305887143497,0.9142379218903364,0.9183673469387755,0.80398581652111,0.9773091193569268,0.5531914893617021,0.40115722956535715,0.6982784760239994,0.05,0.006113646599350841,0.16919686395941763,1.0,0.8,0.98,0.82,2022-03-01
2022,4,122,33,22,33,4,32,32,32,16,32,11220506,30.0,921602.1355236139,3.5807208694509858,2.464803487008392,5.028663398532439,0.27049180327868855,0.19407105238104988,0.3583898248794104,0.6666666666666666,0.4817325275124178,0.8203948650674399,1.0,0.8911188393206472,1.0,0.5,0.318874964234164,0.681125035765836,0.125,0.03513065310331142,0.2899484201907557,1.0,0.9696969696969697,0.9696969696969697,0.6666666666666666,2022-04-01
2022,5,106,26,16,26,1,20,21,25,12,24,11220506,31.0,952322.2067077344,2.730168404859989,1.7834366452833033,4.000329280866658,0.24528301886792453,0.16690639084553544,0.33838715670665265,0.6153846153846154,0.40570753529859144,0.7977397563449796,0.84,0.6391715455407279,0.9546205476282904,0.5,0.291241779836212,0.708758220163788,0.05,0.0012650894979498047,0.24873276277202777,1.0,0.7692307692307693,0.9615384615384616,0.6153846153846154,2022-05-01
2022,6,92,19,13,19,0,16,18,19,10,18,11220506,30.0,921602.1355236139,2.0616271672596587,1.2412342293312353,3.2194861999454796,0.20652173913043478,0.12916000176079406,0.30356981550575474,0.6842105263157895,0.4344984311538491,0.8742393641270166,0.9473684210526315,0.7397193458047858,0.9986683711958205,0.5555555555555556,0.3075716589987562,0.7846984926127001,0.0,0.0,0.20590721420782268,1.0,0.8421052631578947,1.0,0.6842105263157895,2022-06-01
