health_region_code,year,dH,dCFR,outcome_known,hosp_known
32002,2013,-0.030000000000000027,-0.07058823529411766,60,60
32002,2014,-0.1105263157894737,-0.011620795107033635,109,95
32002,2015,0.32020373514431244,0.048402404302435934,29,31
32002,2016,-0.06682027649769584,-0.06344827586206897,25,28
32002,2017,0.20496894409937882,0.023829787234042547,47,46
32002,2018,-0.07639751552795027,-0.03257978723404255,32,35
32002,2019,0.042130750605326894,-0.014008620689655173,58,59
32002,2020,-0.28525743524144553,-0.017241379310344827,53,53
32002,2021,0.19897084048027447,0.09523809523809523,21,22
32002,2022,-0.1515151515151515,-0.0629800307219662,31,33
32002,2023,-0.014781966001478186,-0.005942275042444822,38,41
32002,2024,0.16242864556305137,0.0030959752321981435,34,47
32002,2025,-0.08054711246200608,0.03510436432637571,31,42
32004,2008,0.1611111111111111,0.029411764705882353,34,36
32004,2009,0.023504273504273532,-0.029411764705882353,88,91
32004,2010,-0.12374581939799334,0.022222222222222223,45,46
32004,2011,0.056590752242926146,0.010564663023679418,61,63
32004,2012,-0.037460317460317416,-0.03278688524590164,51,50
32004,2013,-0.03609756097560979,0.06976744186046512,43,41
32004,2014,0.08943089430894308,-0.01094391244870041,34,36
32004,2015,0.2575757575757576,-0.01715686274509804,24,22
32004,2016,-0.17914438502673802,-0.041666666666666664,17,17
32004,2019,-0.20833333333333337,0.0,25,24
32004,2020,0.019308943089430985,0.024390243902439025,41,41
33004,2008,0.13571428571428568,0.03383458646616541,19,20
33004,2009,-0.03518518518518521,-0.010025062656641603,21,27
33004,2010,0.18518518518518523,0.09523809523809523,21,21
33004,2011,-0.35,-0.07936507936507936,18,20
33004,2012,0.29117647058823526,0.0,18,17
33004,2013,-0.05228758169934644,0.18888888888888888,20,27
33004,2014,0.039682539682539764,-0.15714285714285714,14,14
33004,2017,0.05384615384615388,0.18181818181818182,11,10
33004,2018,-0.06666666666666665,0.0,22,24
33004,2019,0.16666666666666663,-0.06181818181818183,25,25
33004,2022,-0.08974358974358976,-0.23076923076923078,17,18
