health_region_code,health_region_name,uf_abbr,region,cases,deaths,outcome_known,H,person_years
35101,ARARAS,SP,Sudeste,50,7,45,0.75,6291108
35102,LIMEIRA,SP,Sudeste,34,4,32,0.7352941176470589,6729578
35103,PIRACICABA,SP,Sudeste,216,7,210,0.411214953271028,11036355
35104,RIO CLARO,SP,Sudeste,52,6,50,0.6938775510204082,4827570
35111,ALTA PAULISTA,SP,Sudeste,4,0,4,0.75,2503199
35112,ALTA SOROCABANA,SP,Sudeste,25,1,25,1.0,7659130
35113,ALTO CAPIVARI,SP,Sudeste,7,1,7,0.8571428571428571,1097749
35114,EXTREMO OESTE PAULISTA,SP,Sudeste,4,0,4,0.75,1774079
35115,PONTAL DO PARANAPANEMA,SP,Sudeste,3,1,3,1.0,1280629
35121,VALE DO RIBEIRA,SP,Sudeste,203,21,192,0.675,5386538
35131,HORIZONTE VERDE,SP,Sudeste,40,4,38,0.8,7869401
35132,AQUIFERO GUARANI,SP,Sudeste,56,8,50,0.8392857142857143,16783007
35133,VALE DAS CACHOEIRAS,SP,Sudeste,7,0,7,1.0,2553395
35141,BAIXA MOGIANA,SP,Sudeste,41,3,41,0.725,6163182
35142,MANTIQUEIRA,SP,Sudeste,36,0,36,0.7777777777777778,5190212
35143,RIO PARDO,SP,Sudeste,28,3,27,0.7037037037037037,4057686
35151,CATANDUVA,SP,Sudeste,96,3,92,0.7604166666666666,5744641
35152,SANTA FE DO SUL,SP,Sudeste,1,0,1,0.0,933731
35153,JALES,SP,Sudeste,7,0,6,1.0,1975976
35154,FERNANDOPOLIS,SP,Sudeste,27,2,24,0.7407407407407407,2247636
35155,SAO JOSE DO RIO PRETO,SP,Sudeste,83,16,81,0.7654320987654321,13663075
35156,JOSE BONIFACIO,SP,Sudeste,11,1,10,1.0,1859963
35157,VOTUPORANGA,SP,Sudeste,32,1,31,0.75,3700292
35161,ITAPETININGA,SP,Sudeste,62,4,57,0.5423728813559322,9224173
35162,ITAPEVA,SP,Sudeste,50,8,49,0.64,5341476
35163,SOROCABA,SP,Sudeste,502,66,455,0.7318087318087318,32010194
35171,ALTO VALE DO PARAIBA,SP,Sudeste,328,35,303,0.7443365695792881,20173084
35172,CIRCUITO DA FE E VALE HISTORICO,SP,Sudeste,168,13,155,0.7777777777777778,8844351
35173,LITORAL NORTE,SP,Sudeste,105,7,89,0.6470588235294118,6037996
35174,VALE DO PARAIBA/REGIAO SERRANA,SP,Sudeste,112,16,106,0.7818181818181819,11458116
41001,1ª RS PARANAGUA,PR,Sul,327,54,310,0.8190184049079755,5489809
41002,2ª RS METROPOLITANA,PR,Sul,3476,366,3334,0.6983159117305459,66225089
41003,3ª RS PONTA GROSSA,PR,Sul,271,28,268,0.7894736842105263,11745165
41004,4ª RS IRATI,PR,Sul,83,3,80,0.7804878048780488,3146479
41005,5ª RS GUARAPUAVA,PR,Sul,194,13,178,0.5806451612903226,8668684
41006,6ª RS UNIAO DA VITORIA,PR,Sul,111,6,106,0.7663551401869159,3174225
41007,7ª RS PATO BRANCO,PR,Sul,149,5,146,0.5202702702702703,5102680
41008,8ª RS FRANCISCO BELTRAO,PR,Sul,233,8,212,0.6491228070175439,6942163
41009,9ª RS FOZ DO IGUACU,PR,Sul,76,6,74,0.72,8100111
41010,10ª RS CASCAVEL,PR,Sul,194,8,192,0.6494845360824743,10469186
41011,11ª RS CAMPO MOURAO,PR,Sul,91,9,89,0.7272727272727273,6542090
41012,12ª RS UMUARAMA,PR,Sul,14,1,9,0.5,5358547
41013,13ª RS CIANORTE,PR,Sul,12,2,12,0.75,2856596
41014,14ª RS PARANAVAI,PR,Sul,29,0,27,0.8214285714285714,5146156
41015,15ª RS MARINGA,PR,Sul,105,12,104,0.8666666666666667,15424741
41016,16ª RS APUCARANA,PR,Sul,174,10,163,0.7093023255813954,6999818
41017,17ª RS LONDRINA,PR,Sul,221,24,213,0.7649769585253456,17638536
41018,18ª RS CORNELIO PROCOPIO,PR,Sul,98,7,96,0.75,4265894
41019,19ª RS JACAREZINHO,PR,Sul,48,6,48,0.7391304347826086,5517589
41020,20ª RS TOLEDO,PR,Sul,80,6,79,0.7012987012987013,7497822
41021,21ª RS TELEMACO BORBA,PR,Sul,51,6,45,0.8823529411764706,3426397
41022,22ª RS IVAIPORA,PR,Sul,94,9,89,0.7252747252747253,2658792
42001,EXTREMO OESTE,SC,Sul,420,3,394,0.6096385542168675,4478896
42002,OESTE,SC,Sul,247,1,234,0.7448559670781894,7095133
42003,XANXERE,SC,Sul,63,2,60,0.8412698412698413,3820639
